date;0;1;2;3;4;5;6;OT
01/01/1990 00:00;0.7855;1.611;0.861698;0.634196;0.211242;0.006838;0.525486;
02/01/1990 00:00;0.7818;1.61;0.861104;0.633513;0.211242;0.006863;0.523972;
03/01/1990 00:00;0.7867;1.6293;0.86103;0.648508;0.211242;0.006975;0.526316;
04/01/1990 00:00;0.786;1.637;0.862069;0.650618;0.211242;0.006953;0.523834;
05/01/1990 00:00;0.7849;1.653;0.861995;0.656254;;0.00694;0.527426;
06/01/1990 00:00;0.7866;1.6537;0.86103;0.654879;;0.006887;0.526177;
07/01/1990 00:00;0.7886;1.662;0.862887;0.661157;;0.006885;0.527565;
08/01/1990 00:00;0.791;1.6568;0.864304;0.659631;;0.006878;0.527565;
09/01/1990 00:00;0.7939;1.6695;0.86423;0.66912;;0.006878;0.528123;
10/01/1990 00:00;0.7894;1.657;0.858369;0.659413;;0.006874;0.528123;
11/01/1990 00:00;0.7917;1.6495;0.859107;0.663702;;0.006873;0.529381;
12/01/1990 00:00;0.7941;1.6445;0.853752;0.658545;;0.006844;0.529101;
13/01/1990 00:00;0.7935;1.6465;0.848176;0.660284;;0.006866;0.532765;
14/01/1990 00:00;0.7954;1.639;0.845309;0.652742;;0.006829;0.532056;
15/01/1990 00:00;0.7751;1.649;;0.66313;;0.006845;0.53135;
16/01/1990 00:00;0.7622;1.655;;0.668226;;0.006881;0.533049;
17/01/1990 00:00;0.7583;;;0.672043;;0.006924;0.532623;
18/01/1990 00:00;0.7605;;;0.667557;;0.006976;0.534188;
19/01/1990 00:00;0.7635;;;0.672948;;0.006987;0.535045;0.595
20/01/1990 00:00;;;;0.670691;;0.00694;0.537201;0.597
21/01/1990 00:00;;;;0.664894;;0.006918;0.536481;0.602
22/01/1990 00:00;;;;0.667468;0.211242;;0.536193;0.5983
23/01/1990 00:00;;;;0.668003;0.211242;;0.535475;0.6003
24/01/1990 00:00;;;;0.675584;0.211242;;0.535906;0.5998
25/01/1990 00:00;;;;0.677094;0.211242;;0.538503;0.601
26/01/1990 00:00;;;;0.674992;0.211242;;0.537779;0.5936
27/01/1990 00:00;;;;0.668986;0.211242;;0.536769;0.5915
28/01/1990 00:00;;;;0.668003;0.211242;;0.536337;0.593
29/01/1990 00:00;;;;0.668539;0.211242;;0.536625;
30/01/1990 00:00;;;;0.668003;0.211242;;0.535906;
31/01/1990 00:00;;;;0.670107;0.211242;;0.536625;
01/02/1990 00:00;;;0.829187;0.668673;0.211242;;0.536193;
02/02/1990 00:00;;;0.834028;0.669568;0.211242;;0.535045;
03/02/1990 00:00;;;0.831947;0.673401;0.211242;;0.537634;
04/02/1990 00:00;;;0.832432;0.678104;0.211242;;0.537346;
05/02/1990 00:00;;;0.83717;0.679117;0.211242;;0.536481;
06/02/1990 00:00;;;0.835422;0.677048;0.211242;;0.535906;
07/02/1990 00:00;;;0.834725;0.672495;0.211242;;0.536193;
08/02/1990 00:00;;;0.83696;0.674172;;;0.536049;
09/02/1990 00:00;;;0.838715;0.670466;;;0.535619;
10/02/1990 00:00;;;0.840195;0.664011;0.211242;;0.533333;
11/02/1990 00:00;;;0.837521;0.66072;0.211242;;0.533333;
12/02/1990 00:00;;;0.839913;0.666667;0.211242;;0.534045;
13/02/1990 00:00;;;0.84246;0.666889;0.211242;;0.533903;
